 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in Phosphorus

 Ion = Beryllium [4] , Mass = 12.0269 amu

 Target Density =  1.8219E+00 g/cm3 = 3.5422E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      P     15    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   3.00 GeV   4.730E-02  1.526E-05  207.18 mm     8.38 mm     2.24 mm  
   3.25 GeV   4.513E-02  1.417E-05  236.88 mm     9.39 mm     2.54 mm  
   3.50 GeV   4.327E-02  1.323E-05  267.92 mm    10.37 mm     2.85 mm  
   3.75 GeV   4.166E-02  1.242E-05  300.23 mm    11.35 mm     3.17 mm  
   4.00 GeV   4.025E-02  1.170E-05  333.73 mm    12.31 mm     3.50 mm  
   4.50 GeV   3.789E-02  1.049E-05  404.00 mm    15.85 mm     4.18 mm  
   5.00 GeV   3.602E-02  9.516E-06  478.28 mm    19.04 mm     4.89 mm  
   5.50 GeV   3.449E-02  8.712E-06  556.13 mm    22.02 mm     5.61 mm  
   6.00 GeV   3.323E-02  8.038E-06  637.17 mm    24.85 mm     6.35 mm  
   6.50 GeV   3.218E-02  7.463E-06  721.08 mm    27.56 mm     7.11 mm  
   7.00 GeV   3.128E-02  6.968E-06  807.56 mm    30.18 mm     7.87 mm  
   8.00 GeV   2.986E-02  6.156E-06  987.15 mm    39.49 mm     9.42 mm  
   9.00 GeV   2.879E-02  5.518E-06    1.17 m     47.59 mm    10.99 mm  
  10.00 GeV   2.796E-02  5.004E-06    1.37 m     54.94 mm    12.56 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.8218E+01                 eV / Angstrom 
  1.8218E+02                keV / micron   
  1.8218E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  5.1433E+01                 eV / (1E15 atoms/cm2)
  1.0623E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
